Participant,Format,FixationIndex,FixationDuration,treebg,treetotal,treerainy,treesunny,treerl,treerh,treesl,treesh,treequestion,vennbg,vennrh,vennrl,vennsl,venntotal,vennquestion
2,tree.png,1,283,1,0,0,0,0,1,0,0,0,,,,,,
2,tree.png,2,217,1,0,0,0,1,0,0,0,0,,,,,,
2,tree.png,3,150,1,1,0,0,0,0,0,0,0,,,,,,
2,tree.png,4,167,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,5,200,1,0,0,1,0,0,0,0,0,,,,,,
2,tree.png,6,150,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,7,150,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,8,150,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,9,200,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,10,133,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,11,317,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,12,83,1,0,0,1,0,0,0,0,0,,,,,,
2,tree.png,13,150,1,0,1,0,0,0,0,0,0,,,,,,
2,tree.png,14,217,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,15,100,1,0,0,0,1,0,0,0,0,,,,,,
2,tree.png,16,100,1,0,0,0,0,0,1,0,0,,,,,,
2,tree.png,17,100,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,18,150,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,19,217,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,20,150,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,21,183,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,22,183,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,23,117,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,24,117,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,25,167,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,26,133,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,27,150,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,28,150,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,29,117,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,30,133,1,0,0,0,0,0,1,0,0,,,,,,
2,tree.png,31,200,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,32,233,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,33,83,1,0,0,0,0,0,1,0,0,,,,,,
2,tree.png,34,267,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,35,150,1,0,0,0,1,0,0,0,0,,,,,,
2,tree.png,36,133,1,0,0,0,0,0,1,0,0,,,,,,
2,tree.png,37,133,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,38,133,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,39,83,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,40,83,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,41,133,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,42,100,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,43,117,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,44,83,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,45,117,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,46,167,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,47,117,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,48,167,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,49,183,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,50,150,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,51,133,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,52,333,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,53,183,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,54,83,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,55,133,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,56,150,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,57,117,1,0,0,0,0,0,1,0,0,,,,,,
2,tree.png,58,167,1,0,0,0,0,0,1,0,0,,,,,,
2,tree.png,59,150,1,0,0,0,0,0,1,0,0,,,,,,
2,tree.png,60,183,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,61,100,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,62,117,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,63,100,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,64,150,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,65,266,1,0,0,0,0,0,0,1,0,,,,,,
2,tree.png,66,350,1,0,0,0,0,0,0,0,0,,,,,,
2,tree.png,67,383,1,0,0,0,1,0,0,0,0,,,,,,
2,tree.png,68,100,1,0,0,0,0,0,1,0,0,,,,,,
3,tree.png,1,100,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,2,100,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,3,400,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,4,150,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,5,200,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,6,633,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,7,100,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,8,200,1,0,0,0,0,0,0,0,1,,,,,,
3,tree.png,9,233,1,0,0,0,0,0,0,0,1,,,,,,
3,tree.png,10,400,1,0,0,0,0,0,0,0,1,,,,,,
3,tree.png,11,100,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,12,83,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,13,133,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,14,100,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,15,100,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,16,133,1,0,0,0,0,0,1,0,0,,,,,,
3,tree.png,17,117,1,0,0,0,0,0,1,0,0,,,,,,
3,tree.png,18,283,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,19,150,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,20,217,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,21,133,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,22,150,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,23,333,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,24,150,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,25,100,1,0,0,0,0,0,0,0,1,,,,,,
3,tree.png,26,167,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,27,183,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,28,100,1,0,0,0,0,1,0,0,0,,,,,,
3,tree.png,29,200,1,0,0,0,0,0,1,0,0,,,,,,
3,tree.png,30,233,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,31,117,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,32,100,1,0,0,0,0,0,0,0,1,,,,,,
3,tree.png,33,150,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,34,283,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,35,200,1,0,0,0,0,0,1,0,0,,,,,,
3,tree.png,36,200,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,37,183,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,38,200,1,0,0,0,0,0,0,0,0,,,,,,
3,tree.png,39,83,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,40,83,1,0,0,0,0,0,0,1,0,,,,,,
3,tree.png,41,133,1,0,0,0,0,0,1,0,0,,,,,,
