Participant,Format,FixationIndex,FixationDuration,treebg,treetotal,treerainy,treesunny,treerl,treerh,treesl,treesh,treequestion,vennbg,vennrh,vennrl,vennsl,venntotal,vennquestion
2,tree,1,283,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,2,217,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,3,150,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,4,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,5,200,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,6,150,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,7,150,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,8,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,9,200,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,10,133,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,11,317,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,12,83,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,13,150,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,14,217,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,15,100,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,16,100,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
2,tree,17,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,18,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,19,217,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,20,150,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,21,183,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,22,183,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,23,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,24,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,25,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,26,133,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,27,150,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,28,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,29,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,30,133,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
2,tree,31,200,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,32,233,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,33,83,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
